,1,2,3,4,5,6
47,14.0,14.0,14.0,14.0,14.0,14.0
48,14.0,14.0,14.0,14.0,14.0,14.0
49,14.0,14.0,14.0,14.0,14.0,14.0
50,14.0,14.0,14.0,14.0,14.0,14.0
51,14.0,14.0,14.0,14.0,14.0,14.0
52,14.0,14.0,14.0,14.0,14.0,14.0
53,14.0,14.0,14.0,14.0,14.0,14.0
54,14.0,14.0,14.0,14.0,14.0,14.0
55,14.0,14.0,14.0,14.0,14.0,14.0
56,14.0,14.0,14.0,14.0,14.0,14.0
57,14.0,14.0,14.0,14.0,14.0,14.0
58,14.0,14.0,14.0,14.0,14.0,14.0
59,14.0,14.0,14.0,14.0,14.0,14.0
60,14.6,14.0,14.0,14.0,14.0,14.0
61,14.6,14.0,14.0,14.0,14.0,14.0
62,14.6,14.0,14.0,14.0,14.0,14.0
63,14.0,14.0,14.0,14.0,14.0,14.0
64,14.0,14.0,14.0,14.0,14.0,14.0
65,14.0,14.0,14.0,14.0,14.0,14.0
66,14.0,14.0,14.0,14.0,14.0,14.0
67,14.0,14.0,14.0,14.0,14.0,14.0
68,14.0,14.0,14.0,14.0,14.0,14.0
69,14.0,14.0,14.0,14.0,14.0,14.0
70,14.0,14.0,14.0,14.0,14.0,14.0
71,14.0,14.0,14.0,14.0,14.0,14.0
72,14.0,14.0,14.0,14.0,14.0,14.0
73,14.0,14.0,14.0,14.0,14.0,14.0
74,14.0,14.0,14.0,14.0,14.0,14.0
75,14.0,14.0,14.0,14.0,14.0,14.0
76,14.0,14.0,14.0,14.0,14.0,14.0
77,14.0,14.0,14.0,14.0,14.0,14.0
78,14.0,14.0,14.0,14.0,14.0,14.0
79,14.0,14.0,14.0,14.0,14.0,14.0
80,14.0,14.0,14.0,14.0,14.0,14.0
81,14.0,14.0,14.0,14.0,14.0,14.0
82,14.0,14.0,14.0,14.0,14.0,14.0
83,14.0,14.0,14.0,14.0,14.0,14.0
84,14.0,14.0,15.1,14.1,14.1,14.0
85,14.0,14.0,15.1,14.1,14.1,14.0
86,14.0,14.0,15.1,14.1,14.1,14.0
87,144.6,17.8,14.6,14.0,14.0,14.0
88,144.6,17.8,14.6,14.0,14.0,14.0
89,144.6,17.8,14.6,14.0,14.0,14.0
90,14.0,18.9,14.8,14.0,14.0,14.0
91,14.0,18.9,14.8,14.0,14.0,14.0
92,14.0,18.9,14.8,14.0,14.0,14.0
93,14.0,14.0,14.0,14.0,14.0,14.0
94,14.0,14.0,14.0,14.0,14.0,14.0
95,14.0,14.0,14.0,14.0,14.0,14.0
96,14.0,14.0,14.0,14.0,14.0,14.0
97,14.0,14.0,14.0,14.0,14.0,14.0
98,14.0,14.0,14.0,14.0,14.0,14.0
99,14.0,14.0,14.0,14.0,14.0,14.0
100,14.0,14.0,14.0,14.0,14.0,14.0
101,14.0,14.0,14.0,14.0,14.0,14.0
102,14.0,14.0,14.0,14.0,14.0,14.0
103,14.0,14.0,14.0,14.0,14.0,14.0
104,14.0,14.0,14.0,14.0,14.0,14.0
105,14.0,14.0,14.0,14.0,14.0,14.0
106,14.0,14.0,14.0,14.0,14.0,14.0
107,14.0,14.0,14.0,14.0,14.0,14.0
108,15.8,14.0,14.3,14.0,14.0,14.0
109,15.8,14.0,14.3,14.0,14.0,14.0
110,15.8,14.0,14.3,14.0,14.0,14.0
111,92.8,15.8,14.5,14.0,14.0,14.0
112,92.8,15.8,14.5,14.0,14.0,14.0
113,92.8,15.8,14.5,14.0,14.0,14.0
114,14.0,14.0,14.0,14.0,14.0,14.0
115,14.0,14.0,14.0,14.0,14.0,14.0
116,14.0,14.0,14.0,14.0,14.0,14.0
117,14.0,14.0,14.0,14.0,14.0,14.0
118,14.0,14.0,14.0,14.0,14.0,14.0
119,14.0,14.0,14.0,14.0,14.0,14.0
120,14.0,14.0,14.0,14.0,14.0,14.0
121,14.0,14.0,14.0,14.0,14.0,14.0
122,14.0,14.0,14.0,14.0,14.0,14.0
123,14.0,14.0,14.0,14.0,14.0,14.0
124,14.0,14.0,14.0,14.0,14.0,14.0
125,14.0,14.0,14.0,14.0,14.0,14.0
126,14.0,14.0,14.0,14.0,14.0,14.0
127,14.0,14.0,14.0,14.0,14.0,14.0
128,14.0,14.0,14.0,14.0,14.0,14.0
129,14.0,14.0,14.0,14.0,14.0,14.0
130,14.0,14.0,14.0,14.0,14.0,14.0
131,14.0,14.0,14.0,14.0,14.0,14.0
132,14.0,14.0,14.0,14.0,14.0,14.0
133,14.0,14.0,14.0,14.0,14.0,14.0
134,14.0,14.0,14.0,14.0,14.0,14.0
135,14.0,14.0,14.0,14.0,14.0,14.0
136,14.0,14.0,14.0,14.0,14.0,14.0
137,14.0,14.0,14.0,14.0,14.0,14.0
138,14.0,14.0,14.0,14.0,14.0,14.0
139,14.0,14.0,14.0,14.0,14.0,14.0
140,14.0,14.0,14.0,14.0,14.0,14.0
141,14.0,14.0,14.0,14.0,14.0,14.0
142,14.0,14.0,14.0,14.0,14.0,14.0
143,14.0,14.0,14.0,14.0,14.0,14.0
